Day,Demand,ServedToday,UnfilledToday,OnHandEnd,BackorderEnd,Arrivals,OrderPlaced,HoldingCost,StockoutCost
1,121,121,0,379,0,0,0,379.0,0.0
2,94,94,0,285,0,0,0,285.0,0.0
3,130,130,0,155,0,0,345,155.0,0.0
4,76,76,0,79,0,0,0,79.0,0.0
5,89,79,10,0,10,0,0,0.0,100.0
6,118,0,118,0,128,0,0,0.0,1180.0
7,109,0,109,0,237,0,155,0.0,1090.0
8,98,98,0,10,0,345,335,10.0,0.0
9,131,10,121,0,121,0,0,0.0,1210.0
10,116,34,82,0,82,155,0,0.0,820.0
11,138,0,138,0,220,0,165,0.0,1380.0
12,98,0,98,0,318,0,0,0.0,980.0
13,122,17,105,0,105,335,335,0.0,1050.0
14,133,0,133,0,238,0,0,0.0,1330.0
15,114,0,114,0,352,0,0,0.0,1140.0
16,111,111,0,37,0,500,463,37.0,0.0
17,139,37,102,0,102,0,0,0.0,1020.0
18,112,0,112,0,214,0,0,0.0,1120.0
19,106,0,106,0,320,0,37,0.0,1060.0
20,126,0,126,0,446,0,0,0.0,1260.0
21,122,17,105,0,105,463,463,0.0,1050.0
22,124,0,124,0,192,37,0,0.0,1240.0
23,158,0,158,0,350,0,37,0.0,1580.0
24,105,105,0,8,0,463,455,8.0,0.0
25,127,8,119,0,119,0,0,0.0,1190.0
26,138,0,138,0,257,0,0,0.0,1380.0
27,113,0,113,0,370,0,8,0.0,1130.0
28,99,0,99,0,469,0,0,0.0,990.0
29,128,0,128,0,142,455,455,0.0,1280.0
30,126,0,126,0,231,37,0,0.0,1260.0
31,102,0,102,0,333,0,37,0.0,1020.0
32,117,0,117,0,442,8,8,0.0,1170.0
33,132,0,132,0,574,0,0,0.0,1320.0
34,119,0,119,0,238,455,455,0.0,1190.0
35,116,0,116,0,354,0,0,0.0,1160.0
36,121,0,121,0,475,0,0,0.0,1210.0
37,128,0,128,0,140,463,463,0.0,1280.0
38,109,0,109,0,212,37,0,0.0,1090.0
39,106,0,106,0,318,0,37,0.0,1060.0
40,109,0,109,0,427,0,0,0.0,1090.0
41,145,0,145,0,572,0,0,0.0,1450.0
42,98,0,98,0,207,463,463,0.0,980.0
43,81,0,81,0,288,0,0,0.0,810.0
44,108,0,108,0,359,37,37,0.0,1080.0
45,127,0,127,0,486,0,0,0.0,1270.0
46,129,0,129,0,615,0,0,0.0,1290.0
47,131,0,131,0,283,463,463,0.0,1310.0
48,106,0,106,0,389,0,0,0.0,1060.0
49,132,0,132,0,484,37,37,0.0,1320.0
50,89,0,89,0,110,463,463,0.0,890.0
51,97,0,97,0,207,0,0,0.0,970.0
52,125,0,125,0,332,0,0,0.0,1250.0
53,118,0,118,0,450,0,0,0.0,1180.0
54,129,0,129,0,542,37,37,0.0,1290.0
55,118,0,118,0,197,463,463,0.0,1180.0
56,109,0,109,0,306,0,0,0.0,1090.0
57,124,0,124,0,430,0,0,0.0,1240.0
58,102,0,102,0,532,0,0,0.0,1020.0
59,108,0,108,0,603,37,37,0.0,1080.0
60,91,0,91,0,231,463,463,0.0,910.0
