Day,Demand,ServedToday,UnfilledToday,OnHandEnd,BackorderEnd,Arrivals,OrderPlaced,HoldingCost,StockoutCost
1,106,106,0,394,0,0,0,394.0,0.0
2,79,79,0,315,0,0,0,315.0,0.0
3,115,115,0,200,0,0,300,200.0,0.0
4,61,61,0,139,0,0,0,139.0,0.0
5,74,74,0,65,0,0,0,65.0,0.0
6,103,65,38,0,38,0,0,0.0,380.0
7,94,0,94,0,132,0,200,0.0,940.0
8,83,0,83,0,215,0,0,0.0,830.0
9,118,0,118,0,333,0,0,0.0,1180.0
10,116,0,116,0,149,300,300,0.0,1160.0
11,123,0,123,0,272,0,0,0.0,1230.0
12,109,0,109,0,181,200,200,0.0,1090.0
13,107,0,107,0,288,0,0,0.0,1070.0
14,81,0,81,0,369,0,0,0.0,810.0
15,118,0,118,0,187,300,300,0.0,1180.0
16,96,13,83,0,83,200,0,0.0,830.0
17,86,0,86,0,169,0,200,0.0,860.0
18,97,0,97,0,266,0,0,0.0,970.0
19,91,0,91,0,357,0,0,0.0,910.0
20,93,0,93,0,150,300,300,0.0,930.0
21,107,0,107,0,257,0,0,0.0,1070.0
22,108,0,108,0,365,0,0,0.0,1080.0
23,109,0,109,0,474,0,0,0.0,1090.0
24,143,0,143,0,417,200,200,0.0,1430.0
25,90,0,90,0,507,0,0,0.0,900.0
26,84,0,84,0,291,300,300,0.0,840.0
27,123,0,123,0,414,0,0,0.0,1230.0
28,98,0,98,0,312,200,200,0.0,980.0
29,84,0,84,0,396,0,0,0.0,840.0
30,113,0,113,0,509,0,0,0.0,1130.0
31,115,0,115,0,624,0,0,0.0,1150.0
32,111,0,111,0,235,500,500,0.0,1110.0
33,105,0,105,0,340,0,0,0.0,1050.0
34,102,0,102,0,442,0,0,0.0,1020.0
35,104,0,104,0,546,0,0,0.0,1040.0
36,117,0,117,0,163,500,500,0.0,1170.0
37,114,0,114,0,277,0,0,0.0,1140.0
38,101,0,101,0,378,0,0,0.0,1010.0
39,106,0,106,0,484,0,0,0.0,1060.0
40,113,0,113,0,597,0,0,0.0,1130.0
41,71,0,71,0,168,500,500,0.0,710.0
42,91,0,91,0,259,0,0,0.0,910.0
43,87,0,87,0,346,0,0,0.0,870.0
44,94,0,94,0,440,0,0,0.0,940.0
45,130,0,130,0,570,0,0,0.0,1300.0
46,83,0,83,0,153,500,500,0.0,830.0
47,66,0,66,0,219,0,0,0.0,660.0
48,93,0,93,0,312,0,0,0.0,930.0
49,103,0,103,0,415,0,0,0.0,1030.0
50,112,0,112,0,527,0,0,0.0,1120.0
51,114,0,114,0,641,0,0,0.0,1140.0
52,116,0,116,0,757,0,0,0.0,1160.0
53,93,0,93,0,350,500,500,0.0,930.0
54,117,0,117,0,467,0,0,0.0,1170.0
55,96,0,96,0,563,0,0,0.0,960.0
56,74,0,74,0,637,0,0,0.0,740.0
57,77,0,77,0,214,500,500,0.0,770.0
58,110,0,110,0,324,0,0,0.0,1100.0
59,103,0,103,0,427,0,0,0.0,1030.0
60,114,0,114,0,541,0,0,0.0,1140.0
