Day,Demand,ServedToday,UnfilledToday,OnHandEnd,BackorderEnd,Arrivals,OrderPlaced,HoldingCost,StockoutCost
1,106,106,0,394,0,0,0,394.0,0.0
2,79,79,0,315,0,0,0,315.0,0.0
3,115,115,0,200,0,0,400,200.0,0.0
4,61,61,0,139,0,0,0,139.0,0.0
5,74,74,0,65,0,0,0,65.0,0.0
6,103,65,38,0,38,0,0,0.0,380.0
7,94,0,94,0,132,0,200,0.0,940.0
8,83,83,0,185,0,400,0,185.0,0.0
9,118,118,0,67,0,0,333,67.0,0.0
10,101,101,0,166,0,200,0,166.0,0.0
11,123,123,0,43,0,0,0,43.0,0.0
12,109,43,66,0,66,0,267,0.0,660.0
13,107,0,107,0,173,0,0,0.0,1070.0
14,81,0,81,0,254,0,0,0.0,810.0
15,118,0,118,0,372,0,0,0.0,1180.0
16,99,0,99,0,138,333,333,0.0,990.0
17,86,86,0,43,0,267,0,43.0,0.0
18,124,43,81,0,81,0,267,0.0,810.0
19,91,0,91,0,172,0,0,0.0,910.0
20,93,0,93,0,265,0,0,0.0,930.0
21,111,68,43,0,43,333,333,0.0,430.0
22,108,0,108,0,151,0,0,0.0,1080.0
23,109,0,109,0,260,0,0,0.0,1090.0
24,143,73,70,0,70,333,333,0.0,700.0
25,90,90,0,107,0,267,0,107.0,0.0
26,84,84,0,23,0,0,0,23.0,0.0
27,112,23,89,0,89,0,267,0.0,890.0
28,98,0,98,0,187,0,0,0.0,980.0
29,83,0,83,0,270,0,0,0.0,830.0
30,84,0,84,0,87,267,267,0.0,840.0
31,115,115,0,131,0,333,0,131.0,0.0
32,111,111,0,20,0,0,313,20.0,0.0
33,105,20,85,0,85,0,0,0.0,850.0
34,102,0,102,0,187,0,0,0.0,1020.0
35,104,80,24,0,24,267,287,0.0,240.0
36,104,0,104,0,128,0,0,0.0,1040.0
37,114,0,114,0,242,0,0,0.0,1140.0
38,101,0,101,0,343,0,0,0.0,1010.0
39,106,0,106,0,136,313,313,0.0,1060.0
40,71,71,0,80,0,287,0,80.0,0.0
41,94,80,14,0,14,0,287,0.0,140.0
42,87,0,87,0,101,0,0,0.0,870.0
43,94,0,94,0,195,0,0,0.0,940.0
44,130,118,12,0,12,313,313,0.0,120.0
45,119,0,119,0,131,0,0,0.0,1190.0
46,66,66,0,90,0,287,0,90.0,0.0
47,93,90,3,0,3,0,0,0.0,30.0
48,103,0,103,0,106,0,287,0.0,1030.0
49,114,114,0,93,0,313,0,93.0,0.0
50,116,93,23,0,23,0,313,0.0,230.0
51,91,0,91,0,114,0,0,0.0,910.0
52,117,0,117,0,231,0,0,0.0,1170.0
53,96,96,0,273,0,600,327,273.0,0.0
54,77,77,0,196,0,0,0,196.0,0.0
55,82,82,0,114,0,0,0,114.0,0.0
56,110,110,0,4,0,0,0,4.0,0.0
57,103,4,99,0,99,0,273,0.0,990.0
58,91,0,91,0,190,0,0,0.0,910.0
59,103,0,103,0,293,0,0,0.0,1030.0
60,113,34,79,0,79,327,327,0.0,790.0
