Day,Demand,ServedToday,UnfilledToday,OnHandEnd,BackorderEnd,Arrivals,OrderPlaced,HoldingCost,StockoutCost
1,106,106,0,394,0,0,0,394.0,0.0
2,79,79,0,315,0,0,0,315.0,0.0
3,115,115,0,200,0,0,300,200.0,0.0
4,61,61,0,139,0,0,0,139.0,0.0
5,74,74,0,65,0,0,0,65.0,0.0
6,103,65,38,0,38,0,0,0.0,380.0
7,94,0,94,0,132,0,200,0.0,940.0
8,83,0,83,0,215,0,0,0.0,830.0
9,118,0,118,0,333,0,0,0.0,1180.0
10,116,116,0,51,0,500,449,51.0,0.0
11,123,51,72,0,72,0,0,0.0,720.0
12,109,0,109,0,181,0,0,0.0,1090.0
13,83,0,83,0,264,0,51,0.0,830.0
14,81,0,81,0,345,0,0,0.0,810.0
15,118,0,118,0,463,0,0,0.0,1180.0
16,99,0,99,0,562,0,0,0.0,990.0
17,96,0,96,0,209,449,449,0.0,960.0
18,124,0,124,0,333,0,0,0.0,1240.0
19,97,0,97,0,430,0,0,0.0,970.0
20,91,0,91,0,470,51,51,0.0,910.0
21,111,0,111,0,581,0,0,0.0,1110.0
22,107,0,107,0,688,0,0,0.0,1070.0
23,108,0,108,0,796,0,0,0.0,1080.0
24,109,0,109,0,456,449,449,0.0,1090.0
25,92,0,92,0,497,51,51,0.0,920.0
26,84,0,84,0,581,0,0,0.0,840.0
27,112,0,112,0,693,0,0,0.0,1120.0
28,123,0,123,0,816,0,0,0.0,1230.0
29,98,0,98,0,914,0,0,0.0,980.0
30,83,0,83,0,946,51,51,0.0,830.0
31,113,0,113,0,610,449,449,0.0,1130.0
32,111,0,111,0,721,0,0,0.0,1110.0
33,87,0,87,0,808,0,0,0.0,870.0
34,105,0,105,0,913,0,0,0.0,1050.0
35,102,0,102,0,964,51,51,0.0,1020.0
36,117,0,117,0,1081,0,0,0.0,1170.0
37,104,0,104,0,1185,0,0,0.0,1040.0
38,114,0,114,0,850,449,449,0.0,1140.0
39,106,0,106,0,956,0,0,0.0,1060.0
40,113,0,113,0,1018,51,51,0.0,1130.0
41,94,0,94,0,663,449,449,0.0,940.0
42,87,0,87,0,750,0,0,0.0,870.0
43,94,0,94,0,844,0,0,0.0,940.0
44,130,0,130,0,974,0,0,0.0,1300.0
45,83,0,83,0,1057,0,0,0.0,830.0
46,119,0,119,0,1176,0,0,0.0,1190.0
47,66,0,66,0,1191,51,51,0.0,660.0
48,103,0,103,0,845,449,449,0.0,1030.0
49,114,0,114,0,959,0,0,0.0,1140.0
50,116,0,116,0,1075,0,0,0.0,1160.0
51,93,0,93,0,1168,0,0,0.0,930.0
52,91,0,91,0,1259,0,0,0.0,910.0
53,117,0,117,0,1376,0,0,0.0,1170.0
54,96,0,96,0,1421,51,51,0.0,960.0
55,77,0,77,0,1049,449,449,0.0,770.0
56,110,0,110,0,1159,0,0,0.0,1100.0
57,103,0,103,0,1262,0,0,0.0,1030.0
58,114,0,114,0,927,449,449,0.0,1140.0
59,103,0,103,0,1030,0,0,0.0,1030.0
60,113,0,113,0,1143,0,0,0.0,1130.0
